21|Mar 28, 2008
Peter Travers|75
Owen Gleiberman|75
Steven Rea|75
John DeFore|70
Joe Leydon|70
Maitland McDonagh|63
Andrew O'Hehir|60
Olly Richards|60
Shawn Levy|58
James Berardinelli|50
Michael Phillips|50
Sean Axmaker|50
Rick Groen|50
Claudia Puig|50
Joanne Kaufman|50
Elizabeth Weitzman|50
Lou Lumenick|50
Mick LaSalle|50
Peter Rainer|50
Kevin Crust|50
Connie Ogle|50
Ryan Stewart|50
J.R. Jones|50
Scott Tobias|42
Marjorie Baumgarten|40
Desson Thomson|40
Manohla Dargis|40
Ty Burr|38
Robert Wilonsky|30
